#{"t_start": 1709584978.641116, "env_id": "CliffWalking-v0"}
r,l,t
-13.0,13,152.747615
-13.0,13,152.750717
-13.0,13,152.757606
-13.0,13,152.761438
-15.0,15,152.764538
-15.0,15,152.767783
-13.0,13,152.77105
-13.0,13,152.774749
-13.0,13,152.77848
-17.0,17,152.782081
-13.0,13,152.784875
-13.0,13,152.787729
-13.0,13,154.511813
-13.0,13,154.515068
-13.0,13,154.517628
-14.0,14,154.521056
-13.0,13,154.524368
-120.0,21,154.52861
-14.0,14,154.531949
-13.0,13,154.535743
-13.0,13,154.538615
-15.0,15,154.542287
-15.0,15,154.546226
-13.0,13,154.549639
-13.0,13,154.552932
-13.0,13,154.557058
-13.0,13,154.561004
-13.0,13,154.56471
-223.0,25,154.57632
-13.0,13,154.580805
-13.0,13,156.331359
-15.0,15,156.335162
-13.0,13,156.338178
-13.0,13,156.341607
-14.0,14,156.345916
-13.0,13,156.349142
-13.0,13,156.352208
-15.0,15,156.355133
-113.0,14,156.358112
-119.0,20,156.364557
-13.0,13,156.368304
-15.0,15,156.372826
-13.0,13,156.376454
-13.0,13,156.383681
-13.0,13,156.387942
-124.0,25,156.39412
-15.0,15,156.397964
-17.0,17,158.126747
-13.0,13,158.129559
-13.0,13,158.132292
-13.0,13,158.135332
-13.0,13,158.138415
-13.0,13,158.144718
-13.0,13,158.151112
-13.0,13,158.153963
-13.0,13,158.156994
-121.0,22,158.162452
-13.0,13,158.165591
-15.0,15,158.168586
-13.0,13,158.171845
-13.0,13,158.174847
-13.0,13,158.177903
-123.0,24,158.184402
-13.0,13,158.187903
-123.0,24,159.969431
-124.0,25,159.975279
-15.0,15,159.978176
-13.0,13,159.981463
-13.0,13,159.984121
-13.0,13,159.987602
-15.0,15,159.992376
-13.0,13,159.995698
-13.0,13,159.999015
-13.0,13,160.002088
-15.0,15,160.005179
-13.0,13,160.008153
-125.0,26,160.014933
-17.0,17,160.020944
-15.0,15,160.024007
-17.0,17,160.028243
-15.0,15,160.032322
-118.0,19,161.717259
-13.0,13,161.721149
-15.0,15,161.725207
-17.0,17,161.73068
-15.0,15,161.734469
-14.0,14,161.738555
-225.0,27,161.745905
-17.0,17,161.750429
-13.0,13,161.753844
-122.0,23,161.760577
-13.0,13,161.764557
-13.0,13,161.767996
-13.0,13,161.771813
-13.0,13,161.775375
-13.0,13,161.77913
-233.0,35,163.468555
-13.0,13,163.47137
-13.0,13,163.474065
-13.0,13,163.477369
-13.0,13,163.480347
-13.0,13,163.485194
-15.0,15,163.490362
-13.0,13,163.49354
-13.0,13,163.497282
-13.0,13,163.500764
-13.0,13,163.503798
-13.0,13,163.50665
-13.0,13,163.509409
-13.0,13,163.512391
-14.0,14,163.51541
-15.0,15,163.51931
-13.0,13,163.522368
-17.0,17,163.526213
-17.0,17,165.328188
-15.0,15,165.332093
-13.0,13,165.334986
-13.0,13,165.337946
-13.0,13,165.341721
-13.0,13,165.345574
-13.0,13,165.349252
-15.0,15,165.354049
-128.0,29,165.360857
-117.0,18,165.366024
-14.0,14,165.370324
-13.0,13,165.375726
-13.0,13,165.379271
-13.0,13,165.384108
-13.0,13,165.387093
-13.0,13,165.389879
-13.0,13,165.393449
-13.0,13,165.397004
-126.0,27,167.288318
-124.0,25,167.293539
-15.0,15,167.296651
-13.0,13,167.300197
-13.0,13,167.30331
-17.0,17,167.307595
-13.0,13,167.310868
-13.0,13,167.315034
-15.0,15,167.318793
-120.0,21,167.324032
-113.0,14,167.327913
-13.0,13,167.331722
-13.0,13,167.334884
-15.0,15,167.338974
-13.0,13,167.342343
-13.0,13,167.346045
-13.0,13,169.216321
-13.0,13,169.219447
-13.0,13,169.222984
-13.0,13,169.226727
-13.0,13,169.230322
-13.0,13,169.233923
-13.0,13,169.237348
-15.0,15,169.241707
-15.0,15,169.245329
-15.0,15,169.249388
-13.0,13,169.253007
-15.0,15,169.257532
-15.0,15,169.261329
-13.0,13,169.265253
-124.0,25,169.271811
-13.0,13,169.275348
-15.0,15,169.280057
-13.0,13,169.28484
-15.0,15,171.061537
-13.0,13,171.064667
-13.0,13,171.067553
-13.0,13,171.070776
-13.0,13,171.075758
-13.0,13,171.081053
-13.0,13,171.083674
-13.0,13,171.086778
-13.0,13,171.091611
-13.0,13,171.094815
-17.0,17,171.098277
-15.0,15,171.10165
-13.0,13,171.104807
-13.0,13,171.108335
-13.0,13,171.111268
-13.0,13,171.115097
-15.0,15,171.119088
-13.0,13,171.122857
-13.0,13,171.126887
-14.0,14,172.880352
-13.0,13,172.883495
-13.0,13,172.886844
-119.0,20,172.892063
-15.0,15,172.89605
-13.0,13,172.900127
-13.0,13,172.903602
-13.0,13,172.906889
-13.0,13,172.910491
-15.0,15,172.914072
-13.0,13,172.917486
-15.0,15,172.921429
-13.0,13,172.924811
-13.0,13,172.928016
-15.0,15,172.932072
-15.0,15,172.936286
-13.0,13,172.941497
-13.0,13,172.947339
-121.0,22,174.739876
-13.0,13,174.743758
-117.0,18,174.747795
-13.0,13,174.751588
-13.0,13,174.75523
-13.0,13,174.758864
-224.0,26,174.773623
-116.0,17,174.784218
-14.0,14,174.789711
-13.0,13,174.793469
-15.0,15,174.797873
-13.0,13,174.804474
-13.0,13,174.809734
-13.0,13,174.813581
-13.0,13,174.81674
-13.0,13,174.820029
-13.0,13,174.823738
-13.0,13,176.432647
-15.0,15,176.435991
-117.0,18,176.439807
-13.0,13,176.442926
-120.0,21,176.448784
-13.0,13,176.453487
-13.0,13,176.456661
-121.0,22,176.462299
-14.0,14,176.465404
-13.0,13,176.468191
-13.0,13,176.471005
-15.0,15,176.474619
-15.0,15,176.479071
-17.0,17,176.483758
-117.0,18,176.48813
-13.0,13,176.491793
-13.0,13,176.495279
-17.0,17,178.187341
-13.0,13,178.189982
-15.0,15,178.193511
-15.0,15,178.196414
-13.0,13,178.19947
-13.0,13,178.202144
-15.0,15,178.210158
-13.0,13,178.213366
-13.0,13,178.215982
-15.0,15,178.219083
-13.0,13,178.222282
-13.0,13,178.224966
-118.0,19,178.229587
-13.0,13,178.232476
-15.0,15,178.236333
-14.0,14,178.240184
-13.0,13,178.243449
-13.0,13,178.24686
-13.0,13,179.837711
-13.0,13,179.840893
-13.0,13,179.843663
-13.0,13,179.846313
-13.0,13,179.849366
-121.0,22,179.85432
-15.0,15,179.857546
-13.0,13,179.86291
-13.0,13,179.866333
-15.0,15,179.869787
-17.0,17,179.87363
-13.0,13,179.876621
-13.0,13,179.880937
-13.0,13,179.884364
-13.0,13,179.887315
-119.0,20,179.891927
-13.0,13,179.895241
-13.0,13,179.898759
-16.0,16,181.489988
-115.0,16,181.49347
-13.0,13,181.496814
-13.0,13,181.500753
-13.0,13,181.504122
-13.0,13,181.5076
-13.0,13,181.511573
-119.0,20,181.517561
-13.0,13,181.52128
-14.0,14,181.524715
-13.0,13,181.528866
-123.0,24,181.536016
-14.0,14,181.539823
-13.0,13,181.543664
-122.0,23,181.552291
-13.0,13,181.555676
-13.0,13,181.558585
-13.0,13,183.117027
-13.0,13,183.120142
-115.0,16,183.124533
-15.0,15,183.127944
-15.0,15,183.132024
-15.0,15,183.135683
-13.0,13,183.139018
-13.0,13,183.142647
-15.0,15,183.146051
-13.0,13,183.150325
-17.0,17,183.154431
-15.0,15,183.158565
-14.0,14,183.162907
-13.0,13,183.166343
-14.0,14,183.169761
-13.0,13,183.172402
-13.0,13,183.1752
-13.0,13,183.179125
-15.0,15,184.840232
-13.0,13,184.843457
-120.0,21,184.849066
-13.0,13,184.852718
-13.0,13,184.858972
-122.0,23,184.865663
-13.0,13,184.869066
-322.0,25,184.875108
-13.0,13,184.878735
-15.0,15,184.882288
-13.0,13,184.885602
-123.0,24,184.891654
-15.0,15,184.895431
-13.0,13,184.899282
-13.0,13,184.902858
-13.0,13,184.90673
-13.0,13,186.542467
-115.0,16,186.545781
-13.0,13,186.548522
-13.0,13,186.55179
-15.0,15,186.55467
-13.0,13,186.557995
-13.0,13,186.562033
-13.0,13,186.567752
-15.0,15,186.571661
-14.0,14,186.574945
-15.0,15,186.578235
-13.0,13,186.581138
-15.0,15,186.584107
-13.0,13,186.588256
-15.0,15,186.591552
-13.0,13,186.594667
-13.0,13,186.597949
-115.0,16,186.601253
-13.0,13,186.604398
-13.0,13,188.169121
-15.0,15,188.172266
-13.0,13,188.175974
-13.0,13,188.179363
-13.0,13,188.183517
-13.0,13,188.187101
-13.0,13,188.190342
-15.0,15,188.195014
-13.0,13,188.199114
-13.0,13,188.202258
-13.0,13,188.205457
-13.0,13,188.209459
-15.0,15,188.212994
-13.0,13,188.216635
-13.0,13,188.220593
-124.0,25,188.226315
-125.0,26,188.232401
-13.0,13,189.972972
-14.0,14,189.976262
-13.0,13,189.979166
-13.0,13,189.982306
-15.0,15,189.985848
-13.0,13,189.989256
-13.0,13,189.993082
-13.0,13,189.996623
-13.0,13,189.999435
-13.0,13,190.002245
-13.0,13,190.005333
-13.0,13,190.009322
-114.0,15,190.012229
-15.0,15,190.017091
-15.0,15,190.027751
-13.0,13,190.04164
-15.0,15,190.051231
-13.0,13,190.05722
-13.0,13,190.064716
-15.0,15,191.602833
-121.0,22,191.607455
-13.0,13,191.610752
-13.0,13,191.614156
-115.0,16,191.618498
-15.0,15,191.621949
-13.0,13,191.625351
-13.0,13,191.632282
-13.0,13,191.639024
-13.0,13,191.642349
-117.0,18,191.646189
-13.0,13,191.649004
-13.0,13,191.652649
-113.0,14,191.655815
-13.0,13,191.65918
-15.0,15,191.66502
-13.0,13,191.668765
-15.0,15,193.178407
-13.0,13,193.181324
-13.0,13,193.184083
-13.0,13,193.188257
