#{"t_start": 1709584918.2221575, "env_id": "CliffWalking-v0"}
r,l,t
-13.0,13,9.331272
-116.0,17,9.333757
-225.0,27,9.467211
-126.0,27,9.470922
-13.0,13,9.472956
-13.0,13,9.474829
-13.0,13,9.4768
-17.0,17,9.479136
-13.0,13,9.480941
-13.0,13,9.482774
-13.0,13,9.485002
-15.0,15,9.487133
-13.0,13,9.489241
-15.0,15,9.491466
-13.0,13,9.493529
-13.0,13,9.495623
-13.0,13,9.497481
-118.0,19,9.50028
-15.0,15,9.502613
-13.0,13,9.632581
-13.0,13,9.634546
-13.0,13,9.636316
-13.0,13,9.638554
-15.0,15,9.640534
-123.0,24,9.643863
-15.0,15,9.646102
-13.0,13,9.648284
-15.0,15,9.650827
-15.0,15,9.652965
-13.0,13,9.655102
-13.0,13,9.65733
-13.0,13,9.659276
-13.0,13,9.661183
-13.0,13,9.6634
-16.0,16,9.665843
-13.0,13,9.668051
-13.0,13,9.670028
-13.0,13,9.816532
-17.0,17,9.819746
-13.0,13,9.82195
-13.0,13,9.824427
-13.0,13,9.82665
-126.0,27,9.831576
-126.0,27,9.835806
-15.0,15,9.838444
-13.0,13,9.840453
-13.0,13,9.842809
-13.0,13,9.845135
-15.0,15,9.847483
-13.0,13,9.849658
-13.0,13,9.852244
-13.0,13,9.854414
-13.0,13,9.856508
-15.0,15,9.859089
-13.0,13,9.998178
-13.0,13,10.000162
-117.0,18,10.002895
-13.0,13,10.005016
-13.0,13,10.007135
-15.0,15,10.009237
-13.0,13,10.011278
-115.0,16,10.013506
-13.0,13,10.015828
-13.0,13,10.017785
-113.0,14,10.019753
-13.0,13,10.02171
-15.0,15,10.023878
-121.0,22,10.0269
-15.0,15,10.029236
-13.0,13,10.031131
-15.0,15,10.033731
-15.0,15,10.035567
-13.0,13,10.173833
-13.0,13,10.176211
-13.0,13,10.178558
-13.0,13,10.180566
-13.0,13,10.182889
-15.0,15,10.184988
-119.0,20,10.188919
-113.0,14,10.191159
-15.0,15,10.19368
-13.0,13,10.195709
-13.0,13,10.198813
-13.0,13,10.201024
-13.0,13,10.203197
-13.0,13,10.205267
-15.0,15,10.208141
-17.0,17,10.210917
-13.0,13,10.212976
-13.0,13,10.215587
-13.0,13,10.351219
-14.0,14,10.353317
-118.0,19,10.356078
-13.0,13,10.358007
-15.0,15,10.360544
-15.0,15,10.362679
-13.0,13,10.364779
-13.0,13,10.367046
-13.0,13,10.369166
-13.0,13,10.37104
-13.0,13,10.373191
-13.0,13,10.375128
-14.0,14,10.377366
-15.0,15,10.379539
-13.0,13,10.381535
-13.0,13,10.384045
-14.0,14,10.386438
-13.0,13,10.388359
-13.0,13,10.523602
-119.0,20,10.526672
-13.0,13,10.529089
-13.0,13,10.531015
-15.0,15,10.533556
-120.0,21,10.536688
-13.0,13,10.541199
-13.0,13,10.543422
-15.0,15,10.545776
-13.0,13,10.547417
-13.0,13,10.549436
-13.0,13,10.551354
-13.0,13,10.553217
-13.0,13,10.555059
-17.0,17,10.557631
-13.0,13,10.559447
-13.0,13,10.561435
-13.0,13,10.563193
-15.0,15,10.70733
-13.0,13,10.709758
-13.0,13,10.711778
-13.0,13,10.713704
-15.0,15,10.716265
-13.0,13,10.718114
-13.0,13,10.719993
-113.0,14,10.722097
-126.0,27,10.725912
-121.0,22,10.729255
-13.0,13,10.731152
-13.0,13,10.732976
-13.0,13,10.735113
-13.0,13,10.736813
-13.0,13,10.738478
-13.0,13,10.740191
-13.0,13,10.742317
-15.0,15,10.744236
-13.0,13,10.889057
-17.0,17,10.891662
-124.0,25,10.896127
-13.0,13,10.898942
-15.0,15,10.903448
-13.0,13,10.907159
-119.0,20,10.910903
-13.0,13,10.912972
-13.0,13,10.914976
-13.0,13,10.917064
-14.0,14,10.919245
-120.0,21,10.922094
-13.0,13,10.924027
-17.0,17,10.926533
-13.0,13,10.929921
-13.0,13,10.93176
-15.0,15,11.070524
-13.0,13,11.072799
-15.0,15,11.075177
-13.0,13,11.077109
-13.0,13,11.079407
-13.0,13,11.081278
-13.0,13,11.083408
-13.0,13,11.085639
-14.0,14,11.087662
-13.0,13,11.089596
-13.0,13,11.091839
-13.0,13,11.093714
-14.0,14,11.095582
-13.0,13,11.097581
-13.0,13,11.099621
-14.0,14,11.101443
-13.0,13,11.103357
-13.0,13,11.105041
-13.0,13,11.107027
-15.0,15,11.238764
-15.0,15,11.241007
-13.0,13,11.243051
-16.0,16,11.245291
-13.0,13,11.247123
-15.0,15,11.249358
-13.0,13,11.251149
-119.0,20,11.254078
-13.0,13,11.256199
-13.0,13,11.258111
-15.0,15,11.260159
-13.0,13,11.262482
-13.0,13,11.264351
-119.0,20,11.267235
-115.0,16,11.269686
-17.0,17,11.272047
-125.0,26,11.275842
-13.0,13,11.408329
-117.0,18,11.411102
-13.0,13,11.413275
-15.0,15,11.415486
-125.0,26,11.419102
-15.0,15,11.421337
-13.0,13,11.423576
-13.0,13,11.425843
-13.0,13,11.42812
-13.0,13,11.430172
-13.0,13,11.432589
-15.0,15,11.435119
-15.0,15,11.437339
-13.0,13,11.439613
-13.0,13,11.44196
-13.0,13,11.444006
-13.0,13,11.446293
-13.0,13,11.448371
-13.0,13,11.607237
-13.0,13,11.609199
-13.0,13,11.611257
-13.0,13,11.613115
-13.0,13,11.615226
-13.0,13,11.617294
-13.0,13,11.619235
-225.0,27,11.623008
-13.0,13,11.625145
-126.0,27,11.62913
-13.0,13,11.630987
-13.0,13,11.632713
-15.0,15,11.635265
-13.0,13,11.637087
-13.0,13,11.638941
-13.0,13,11.640917
-13.0,13,11.642909
-13.0,13,11.788514
-13.0,13,11.793769
-13.0,13,11.79814
-117.0,18,11.80436
-13.0,13,11.808544
-13.0,13,11.812724
-15.0,15,11.817722
-13.0,13,11.821963
-13.0,13,11.823699
-13.0,13,11.825656
-13.0,13,11.827393
-13.0,13,11.829424
-13.0,13,11.831315
-13.0,13,11.833701
-13.0,13,11.835486
-15.0,15,11.838063
-13.0,13,11.839951
-13.0,13,11.841799
-13.0,13,11.843908
-13.0,13,11.986358
-13.0,13,11.988359
-15.0,15,11.990705
-13.0,13,11.992572
-13.0,13,11.994651
-337.0,40,12.000274
-15.0,15,12.00258
-13.0,13,12.004561
-13.0,13,12.006738
-13.0,13,12.009031
-13.0,13,12.011069
-14.0,14,12.013016
-13.0,13,12.015502
-13.0,13,12.017512
-15.0,15,12.019698
-15.0,15,12.022181
-13.0,13,12.0244
-13.0,13,12.1648
-227.0,29,12.168737
-13.0,13,12.170843
-115.0,16,12.173328
-13.0,13,12.175487
-13.0,13,12.177406
-13.0,13,12.179289
-13.0,13,12.181494
-14.0,14,12.183458
-13.0,13,12.185243
-13.0,13,12.187262
-13.0,13,12.189192
-13.0,13,12.191064
